country_code,wave,luck,norm,gini,n
528,5,4.9696673189823874,-0.2436550909826783,27.2,1022
528,6,4.778840742824986,-0.33218883082461964,26.0,1777
528,7,4.8572175732217575,-0.289743179939241,27.0,1912
554,3,4.138297872340425,-0.19239624488493212,32.9,1128
554,5,4.304891922639363,-0.21657838950591798,32.5,879
554,6,3.730817610062893,-0.23112478830739278,32.1,795
554,7,4.055498458376157,-0.2623349202831871,31.2,973
558,7,5.115833333333334,0.11885148159126217,,1200
566,3,3.6128542510121457,-0.17391071959228085,43.4,1976
566,6,4.287663445139284,0.009455218725551821,40.2,1759
566,7,4.499594484995945,-0.17992132094676871,38.9,1233
578,3,5.066071428571429,-0.19047266317783987,24.5,1120
578,5,4.918387413962635,-0.16358514089673012,24.7,1017
586,6,4.274166666666667,-0.15347337724338686,34.0,1200
586,7,4.135808748728382,-0.08015935889533177,34.0,1966
604,3,3.5958188153310107,-0.02535076138071258,52.3,1148
604,6,3.8341880341880343,0.04662218859148148,46.5,1170
604,7,3.5185454545454546,-0.038194257763023196,44.3,1375
608,3,3.787145242070117,0.4653302625213396,43.1,1198
608,6,3.7483333333333335,0.8277138121210432,41.1,1200
608,7,3.8216666666666668,0.9989876603075691,38.4,1200
616,3,5.811303555150411,-0.14231437603345143,29.8,1097
616,5,5.930526315789474,-0.12509228900341154,31.3,950
616,6,5.7013963480128895,-0.1061755135562986,31.4,931
630,3,4.214718614718615,-0.2251641419165105,49.4,1155
630,7,4.219730941704036,-0.2526190192191716,51.1,1115
634,6,4.829545454545454,-0.09154273764368596,38.1,1056
642,3,3.861754966887417,-0.10989586264192117,28.6,1208
642,5,3.352129574085183,-0.16924239371736224,32.2,1667
642,6,3.2939142461964037,-0.2708635443534522,30.900000000000002,1446
642,7,3.198529411764706,-0.16986302549667634,31.699999999999996,1224
643,3,4.704254228600718,0.018529950037591843,36.9,1951
643,5,5.818466353677621,0.10451236648947647,35.9,1917
643,6,4.885664789952361,0.10763379989842366,35.3,2309
643,7,4.80327868852459,0.3847235194041767,32.1,1769
646,5,5.837177747625509,0.03706113193324618,50.5,1474
646,6,4.004584151931892,-0.14807125836257118,49.4,1527
688,3,4.920545746388443,-0.10860100298248976,,1246
688,5,5.577578475336323,1.112230712905055,34.6,1115
688,7,5.689024390243903,0.540569765201451,32.0,984
702,6,4.547993905535805,0.22222094588296012,38.7,1969
702,7,4.487512487512488,-0.23736488375883796,36.6,2002
703,3,5.028116213683224,0.3213639791551468,,1067
703,7,5.679261125104953,0.3237689735649884,,1191
704,5,3.4574540503744045,-0.1725580405961548,37.6,1469
704,7,3.535,0.4540368158712307,35.4,1200
705,3,4.1396761133603235,0.1449801414476992,23.3,988
705,5,4.163265306122449,0.03680664673783448,23.6,980
705,6,4.601156069364162,-0.1987647348670539,24.9,1038
710,3,2.7066388599235314,-0.10457514956882279,61.6,2877
710,5,3.4094326725905675,0.09565047980518558,63.6,2926
710,6,4.756858215420156,0.9748468076834126,62.8,3463
716,6,3.6153333333333335,0.07245556720006563,47.3,1500
716,7,2.4975288303130148,-0.12264072751467543,,1214
724,3,4.461736887360275,-0.252851402952512,33.5,1163
724,5,4.191126279863481,-0.08594189164882754,32.4,1172
724,6,4.261511728931364,-0.21967037898220051,33.7,1151
752,3,4.724899598393574,-0.0593717435949604,24.2,996
752,5,4.495951417004049,-0.10296628783792561,25.3,988
752,6,4.263427109974424,-0.05987868236179434,27.4,1173
756,3,4.496937882764654,-0.05867773268072837,29.4,1143
756,5,5.527302363488182,-0.25450709383608766,30.100000000000005,1227
762,7,5.91,0.14181923049183381,47.5,1200
764,5,5.141737426518615,0.3934763259411578,42.3,1531
764,6,4.3107202680067,-0.1114348353798175,39.7,1194
764,7,4.812711291413117,-0.1298115053322944,37.8,1479
780,5,2.7312687312687314,-0.06370491153888684,,1001
780,6,2.628282828282828,-0.3620180631400307,,990
788,6,3.284090909090909,-0.2088827861847772,38.4,1144
788,7,3.5552784704904408,-0.105103843196974,37.6,1203
792,5,4.532319391634981,-0.4029477890695111,39.6,1315
792,6,4.396166134185304,-0.3875152027874409,38.8,1565
792,7,5.211804102134784,-0.2180208946510902,40.0,2389
804,3,5.1365989645559536,0.25361048877367426,31.9,2511
804,5,5.078723404255319,0.34711564475520373,28.7,940
804,6,4.694,0.008296903418072913,26.5,1500
804,7,5.090024330900243,0.2549367070861664,27.1,1233
807,3,5.498858447488584,-0.01869104474685608,30.5,876
818,5,2.4561345646437993,-0.28183024545820395,30.8,3032
818,6,2.684832567301379,-0.028628436275532135,30.0,1523
818,7,3.8833474218089603,-0.3846556451305835,30.3,1183
826,5,4.55111976630964,-0.12148834232399873,33.3,1027
826,7,4.613079019073569,-0.24440709608717476,32.2,2569
840,3,3.5445478723404253,-0.36328632867588967,36.7,1504
840,5,3.863559322033898,-0.18620961077553133,38.8,1180
840,6,3.7584923220102375,-0.17002780509591972,38.1,2149
840,7,3.771950271950272,-0.053152110774052956,38.6,2574
854,5,5.03134110787172,0.15535724575064946,43.6,1372
858,3,5.210031347962382,-0.3109172297766774,38.8,957
858,5,5.3125,-0.10471167499737027,43.0,944
858,6,5.468716861081655,-0.22857223290976134,38.4,943
858,7,5.293577981651376,-0.08565210191088862,38.2,981
860,6,3.4503171247357294,-0.09651209045059929,32.3,1419
860,7,5.92448132780083,0.1928311436022088,31.0,1205
862,3,4.3144876325088335,-0.06425707088218073,42.8,1132
862,7,5.002521008403361,0.1647615142064811,36.1,1190
887,6,2.115138592750533,-0.13749851600974658,37.2,938
894,5,3.6823855755894592,0.5458333935941025,54.9,1442
909,7,4.263513513513513,-0.24530263495939375,32.2,444
