country_code,wave,n,luck_belief_missing_pct,just_benefits_missing_pct,just_taxes_missing_pct,just_bribe_missing_pct,just_steal_missing_pct
634,6,1056,0.0,0.5,100.0,0.0,0.2
642,3,1208,0.0,3.1,0.2,1.1,100.0
642,5,1667,0.0,2.2,2.3,1.0,100.0
642,6,1446,0.0,2.1,0.6,0.7,0.1
642,7,1224,0.0,2.0,0.8,1.1,0.4
643,3,1951,0.0,7.6,6.4,1.5,100.0
643,5,1917,0.0,5.5,4.3,1.5,100.0
643,6,2309,0.0,4.5,3.2,1.7,0.7
643,7,1769,0.0,3.9,2.9,1.8,0.7
646,5,1474,0.0,1.8,0.5,0.2,100.0
646,6,1527,0.0,0.0,0.0,0.0,0.0
688,3,1246,0.0,2.6,1.2,1.3,100.0
688,5,1115,0.0,2.4,1.2,1.6,100.0
688,7,984,0.0,1.5,0.4,1.3,0.3
702,6,1969,0.0,0.0,0.1,0.0,0.0
702,7,2002,0.0,0.2,0.3,0.3,0.2
703,3,1067,0.0,0.9,1.0,0.9,100.0
703,7,1191,0.0,1.1,0.7,0.8,0.3
704,5,1469,0.0,6.3,1.6,1.0,100.0
704,7,1200,0.0,0.0,0.0,0.0,0.0
705,3,988,0.0,0.6,0.0,0.2,100.0
705,5,980,0.0,2.8,0.5,0.7,100.0
705,6,1038,0.0,1.7,0.0,0.4,0.2
710,3,2877,0.0,2.3,2.1,1.4,100.0
710,5,2926,0.0,0.9,1.7,0.8,100.0
710,6,3463,0.0,0.5,0.6,0.3,0.2
716,6,1500,0.0,0.0,0.0,0.0,0.0
716,7,1214,0.0,0.2,0.0,0.1,0.1
724,3,1163,0.0,3.2,1.1,0.9,100.0
724,5,1172,0.0,3.9,0.9,0.1,100.0
724,6,1151,0.0,1.4,0.6,0.8,0.3
752,3,996,0.0,0.8,0.5,0.2,100.0
752,5,988,0.0,0.6,0.3,0.2,100.0
752,6,1173,0.0,3.8,1.4,0.9,0.6
756,3,1143,0.0,1.7,1.0,1.0,100.0
756,5,1227,0.0,0.3,0.2,0.2,100.0
762,7,1200,0.0,0.0,0.0,0.0,0.0
